"FIPStxt","State","Area_name","Rural_urban_continuum_code_2013","Urban_influence_code_2013","Metro_2013","Average Employment Data from 2007 to 2017","Average Unemployment Data from 2007 to 2017"
"8077","CO","Mesa County CO","3","2","1","63464.29230769231","2620.8954545454544"
"8079","CO","Mineral County CO","9","12","0","4415.930769230769","13.104545454545455"
"8081","CO","Moffat County CO","7","8","0","10431.646153846154","235.84545454545457"
"8083","CO","Montezuma County CO","6","6","0","13328.530769230769","420.9318181818182"
"8085","CO","Montrose County CO","4","5","0","19204.83846153846","714.3499999999999"
"8087","CO","Morgan County CO","6","3","0","15685.446153846153","366.5590909090909"
"8089","CO","Otero County CO","6","6","0","9450.307692307691","307.1090909090909"
"8091","CO","Ouray County CO","9","10","0","7039.4384615384615","71.16363636363636"
"8093","CO","Park County CO","1","1","1","12932.253846153846","249.59090909090912"
"8095","CO","Phillips County CO","9","10","0","5675.507692307693","42.5"
"8097","CO","Pitkin County CO","7","8","0","14573.884615384615","285.54545454545456"
"8099","CO","Prowers County CO","7","11","0","8095.084615384616","158.41363636363633"
"8101","CO","Pueblo County CO","3","2","1","60966.838461538464","2767.536363636364"
"8103","CO","Rio Blanco County CO","9","10","0","7373.361538461539","96.51363636363635"
"8105","CO","Rio Grande County CO","7","11","0","7455.276923076924","215.3136363636363"
"8107","CO","Routt County CO","7","8","0","17430.653846153848","374.01363636363635"
"8109","CO","Saguache County CO","9","12","0","5054.361538461539","128.4090909090909"
"8111","CO","San Juan County CO","9","10","0","3847.6846153846154","21.036363636363635"
"8113","CO","San Miguel County CO","9","12","0","9292.484615384616","135.45909090909092"
"8115","CO","Sedgwick County CO","9","10","0","4313.66923076923","30.031818181818178"
"8117","CO","Summit County CO","5","8","0","21008.069230769233","403.59545454545446"
"8119","CO","Teller County CO","2","2","1","14429.253846153846","379.57272727272726"
"8121","CO","Washington County CO","9","10","0","5812.346153846154","51.76818181818182"
"8123","CO","Weld County CO","2","2","1","113632.52307692308","3901.8318181818177"
"8125","CO","Yuma County CO","7","11","0","8313.192307692309","95.94999999999996"
"9001","CT","Fairfield County CT","2","2","1","384413.8153846153","14926.95"
"9003","CT","Hartford County CT","1","1","1","375569.42307692306","16537.063636363637"
"9005","CT","Litchfield County CT","4","3","0","89891.15384615384","3341.95"
"9007","CT","Middlesex County CT","1","1","1","80284.33076923077","2706.2772727272722"
"9009","CT","New Haven County CT","2","2","1","362168.92307692306","16802.71363636364"
"9011","CT","New London County CT","2","2","1","117767.74615384615","4776.950000000001"
"9013","CT","Tolland County CT","1","1","1","74183.68461538461","2492.9636363636364"
"9015","CT","Windham County CT","2","2","1","54575.0","2415.086363636364"
"10001","DE","Kent County DE","3","2","1","63690.76153846154","2398.9090909090914"
"10003","DE","New Castle County DE","1","1","1","229344.4846153846","8257.781818181818"
"10005","DE","Sussex County DE","2","2","1","79800.86153846154","2857.6727272727276"
"11001","DC","District of Columbia","1","1","1","288675.6923076923","13991.927272727271"
"12001","FL","Alachua County FL","2","2","1","107812.54615384617","3570.6181818181813"
"12003","FL","Baker County FL","1","1","1","13116.7","414.15909090909093"
"12005","FL","Bay County FL","3","2","1","72714.92307692308","3013.5590909090915"
"12007","FL","Bradford County FL","6","4","0","12426.976923076923","356.21818181818185"
"12009","FL","Brevard County FL","2","2","1","210006.13076923077","10031.986363636364"
"12011","FL","Broward County FL","1","1","1","782396.8692307693","31957.000000000004"
"12013","FL","Calhoun County FL","6","6","0","6941.861538461539","191.4409090909091"
"12015","FL","Charlotte County FL","3","2","1","56225.10769230769","2758.6681818181823"
"12017","FL","Citrus County FL","3","2","1","42654.515384615384","2378.8272727272724"
"12019","FL","Clay County FL","1","1","1","81628.0","3105.7363636363634"
"12021","FL","Collier County FL","2","2","1","127043.43846153846","5554.299999999999"
"12023","FL","Columbia County FL","4","3","0","26360.530769230772","1032.681818181818"
"12027","FL","DeSoto County FL","6","5","0","13344.084615384616","534.2454545454544"
"12029","FL","Dixie County FL","6","7","0","7031.546153846154","239.0772727272727"
"12031","FL","Duval County FL","1","1","1","362507.4692307692","16664.395454545454"
"12033","FL","Escambia County FL","2","2","1","113592.80769230769","4860.677272727272"
"12035","FL","Flagler County FL","2","2","1","35100.92307692308","1746.7636363636366"
"12037","FL","Franklin County FL","6","6","0","6803.66923076923","139.98181818181817"
"12039","FL","Gadsden County FL","2","2","1","18277.723076923077","806.6500000000001"
"12041","FL","Gilchrist County FL","2","2","1","8701.923076923076","252.5"
"12043","FL","Glades County FL","6","4","0","7018.223076923076","192.51818181818177"
"12045","FL","Gulf County FL","3","2","1","7821.7307692307695","212.88636363636363"
"12047","FL","Hamilton County FL","6","6","0","6342.223076923076","192.15909090909096"
"12049","FL","Hardee County FL","6","3","0","11473.307692307691","447.47727272727275"
"12051","FL","Hendry County FL","4","3","0","15685.423076923076","951.9772727272727"
"12053","FL","Hernando County FL","1","1","1","54093.14615384616","2968.1181818181817"
"12055","FL","Highlands County FL","3","2","1","31897.19230769231","1627.1545454545455"
"12057","FL","Hillsborough County FL","1","1","1","523749.47692307696","22284.231818181815"
"12059","FL","Holmes County FL","6","6","0","9059.292307692307","262.81363636363636"
"12061","FL","Indian River County FL","3","2","1","51642.45384615385","2816.586363636364"
"12063","FL","Jackson County FL","6","6","0","17821.73076923077","634.9454545454547"
"12065","FL","Jefferson County FL","2","2","1","7992.338461538461","205.58181818181814"
"12067","FL","Lafayette County FL","9","12","0","5718.6846153846145","87.62272727272727"
"12069","FL","Lake County FL","1","1","1","112154.12307692309","5067.172727272728"
"12071","FL","Lee County FL","2","2","1","239651.24615384618","11365.881818181817"
"12073","FL","Leon County FL","2","2","1","122707.72307692307","4241.436363636364"
"12075","FL","Levy County FL","6","6","0","15614.469230769231","655.3045454545454"
"12077","FL","Liberty County FL","8","7","0","5415.038461538462","94.58181818181819"
"12079","FL","Madison County FL","6","6","0","8500.792307692307","289.58181818181816"
